id,body,source_author,source_title,score
pd068d041950d783,開いた本を閉じたほどの音もさせなかったのである。,マルセル・プレヴォー,田舎,0.5673
pd6f5e3cdf9cd186,締め切って、ほとんど真暗な家々の窓が後へ向いて走る。,ミハイル・ペトローヴィチ・アルチバシェッフ,罪人,0.6887
pd725fc08aff1bcc,外気が冷々として、細かい雨が降りだした。,モーリス・ルヴェル,孤独,0.6642
pd005071b69294cb,もう幾月か立ったので、なんに附けても悪く言う。,ヤーコプ・ユリウス・ダビット,世界漫遊,0.6124
pd250df9559be630,三月すると、地の中から花が咲きました。,ヤーコプ・ルートヴィッヒ・カール・グリム,杜松の樹,0.7117
pddd7200c5075898,あちらでは花の咲いている中で、悲しい心持がしてなりませんでした。,ライネル・マリア・リルケ,白,0.6972
pdfc8a499c8770c3,私はこの疑問にたいして、いや、話すことはなくならないと考えた。,リチャード・オースティン・フリーマン,「ソーンダイク博士」序文,0.4722
pd0b17bce05a054e,なんとなれば、時は虚無であって、すべての物体には始めと同時に終りが接しているのである。,レオニード・ニコラーエヴィチ・アンドレーエフ,世界怪談名作集,0.6619
pdd017f762eaef6d,またあのおしだって何にもいりはしませんよ。,レオ・トルストイ,イワンの馬鹿,0.6211
pd41005ff1a8131a,外部の物音はかすかにしか聞こえなかった。,ロマン・ロラン,ジャン・クリストフ,0.7388
pd7e8c2ff67ad4ff,あんなに長い耳を持っているんだから、勝つに違いないよ。,ロード・ダンセイニ,兎と亀,0.5538
pddaf2bab2e9b5f7,おーい、空想よ、お前はどこへ行くのだ。,ワシントン・アーヴィング,船旅,0.4567
pdfd9a7d218c0742,こどもらにかえり道が見つかりっこないから、それでやっかいがぬけようじゃないか。,ヴィルヘルム・カール・グリム,ヘンゼルとグレーテル,0.6099
pde69fc926c58132,――それに、ここでもう一つあなたに申上げておかなくてはならないことがあります。,三上於菟吉,黄色な顔,0.6359
pda4d304cb2d60e8,時々、風にのって谷川の音がザーッと流れてくる。,三好十郎,破れわらじ,0.5625
pdc286f32c44527e,母に宛てた手紙の、興味ある次のような一節で、それがよく分ります。,三宅幾三郎,ワンダ・ブック――少年・少女のために――,0.4335
pd236ee5c72124ce,半助ぐらいでおたまりこぼしがあるものかだ。,三宅花圃,藪の鶯,0.5928
pdc77ca207a35df2,でも今年の花はどこへ散ったのであろう。,三木清,私の果樹園,0.4254
pd60c7600ea044fa,そんなことを云うなら、もう百円出してもこの橋は渡らせない。,三鳥山人,豚吉とヒョロ子,0.5352
